LOT,OPERATION,OUT_DATE
A528920B,245718,2025-08-20 22:34:14
A528920B,245776,2025-08-20 22:44:23
A528920B,242076,2025-08-20 22:51:20
A528920B,262026,2025-08-20 22:57:22
A528920B,209417,2025-08-21 11:30:11
A528920B,232808,2025-08-21 11:30:11
A528920B,194483,2025-08-21 11:40:09
A528920B,175457,2025-08-21 11:56:44
A528920B,213653,2025-08-21 12:14:57
A528920B,230109,2025-08-21 12:38:06
A528920B,247701,2025-08-21 12:38:06
A528920B,249808,2025-08-21 12:55:55
A528920B,220419,2025-08-21 13:44:55
A528920B,247702,2025-08-21 13:44:55
A528920B,194477,2025-08-21 14:21:13
A528920B,210953,2025-08-21 14:40:52
A528920B,211089,2025-08-21 14:40:52
A528920B,194491,2025-08-21 16:26:55
A528920B,210952,2025-08-21 16:52:10
A528920B,146197,2025-08-21 17:06:07
A528920B,194478,2025-08-21 17:06:07
A528920B,214155,2025-08-21 17:06:07
A528920B,256934,2025-08-21 17:06:07
A528920B,207890,2025-08-21 17:25:07
A528920B,240375,2025-08-21 19:50:10
A528920B,194479,2025-08-21 20:19:21
A528920B,194465,2025-08-21 20:27:42
A528920B,194492,2025-08-21 23:35:30
A528920B,217141,2025-08-21 23:51:57
A528920B,217539,2025-08-21 23:51:57
A528920B,220420,2025-08-21 23:51:57
A528920B,257349,2025-08-21 23:51:57
A528920B,143819,2025-08-22 00:04:49
A528920B,248217,2025-08-22 00:04:49
A528920B,143820,2025-08-22 01:01:58
A528920B,143821,2025-08-22 01:17:34
A528920B,143822,2025-08-22 02:21:27
A528920B,143823,2025-08-22 02:21:49
